"id","start","end","created_at","user_id","seat_id","title","sit_stand","has_monitor"
1,"2023-10-17 10:05:11.578432","2023-10-17 10:05:29.011027","2023-10-17 10:05:11.585841",1,38,"Communal Area Seat",False,False
2,"2023-10-17 10:06:09.07051","2023-10-17 10:06:38.264654","2023-10-17 10:06:09.074779",1,8,"Sitting Desk with Monitor",False,True
3,"2023-10-17 10:07:20.546427","2023-10-17 10:09:58.337298","2023-10-17 10:07:20.550802",132,34,"Communal Area Seat",False,False
4,"2023-10-17 10:07:48.42104","2023-10-17 10:08:15.733278","2023-10-17 10:07:48.426826",19,32,"Communal Area Seat",False,False
6,"2023-10-17 10:13:51.311256","2023-10-17 11:30:37.499079","2023-10-17 10:13:51.315862",212,21,"Communal Area Seat",False,False
9,"2023-10-17 10:42:20.623076","2023-10-17 12:42:13.797","2023-10-17 10:42:20.627941",197,14,"Standing Desk with Monitor",True,True
13,"2023-10-17 10:50:41.845154","2023-10-17 12:50:40.726","2023-10-17 10:50:41.850181",215,0,"Sitting Desk with Monitor",False,True
18,"2023-10-17 10:55:16.019408","2023-10-17 10:55:31.027036","2023-10-17 10:55:16.024475",132,17,"Standing Desk with Monitor",True,True
21,"2023-10-17 11:02:22.040367","2023-10-17 13:02:13.019","2023-10-17 11:02:22.047312",216,4,"Sitting Desk with Monitor",False,True
23,"2023-10-17 11:15:48.642935","2023-10-17 13:15:38.815","2023-10-17 11:15:48.65219",219,5,"Sitting Desk with Monitor",False,True
24,"2023-10-17 11:16:07.095253","2023-10-17 12:40:50.602524","2023-10-17 11:16:07.29491",218,8,"Sitting Desk with Monitor",False,True
25,"2023-10-17 11:16:07.405582","2023-10-17 13:16:01.934","2023-10-17 11:16:07.412013",220,10,"Sitting Desk with Monitor",False,True
26,"2023-10-17 11:29:42.838168","2023-10-17 13:29:39.218","2023-10-17 11:29:42.845893",17,2,"Sitting Desk with Monitor",False,True
27,"2023-10-17 11:30:31.073662","2023-10-17 13:30:26.146","2023-10-17 11:30:31.080512",221,3,"Sitting Desk with Monitor",False,True
28,"2023-10-17 11:32:38.285313","2023-10-17 13:32:33.387","2023-10-17 11:32:38.291322",222,9,"Sitting Desk with Monitor",False,True
29,"2023-10-17 11:33:03.316282","2023-10-17 12:22:01.849649","2023-10-17 11:33:03.321198",223,13,"Standing Desk with Monitor",True,True
32,"2023-10-17 11:35:28.456183","2023-10-17 13:35:24.114","2023-10-17 11:35:28.462925",156,11,"Sitting Desk with Monitor",False,True
35,"2023-10-17 11:49:34.27749","2023-10-17 12:11:16.374668","2023-10-17 11:49:34.284317",217,24,"Communal Area Seat",False,False
42,"2023-10-17 12:30:10.551658","2023-10-17 14:30:03.146","2023-10-17 12:30:10.556635",228,12,"Standing Desk with Monitor",True,True
43,"2023-10-17 12:31:27.217206","2023-10-17 13:42:44.054031","2023-10-17 12:31:27.22343",229,6,"Sitting Desk with Monitor",False,True
44,"2023-10-17 12:34:19.898976","2023-10-17 13:24:44.666947","2023-10-17 12:34:19.905394",68,1,"Sitting Desk with Monitor",False,True
45,"2023-10-17 12:40:06.969786","2023-10-17 14:40:00.612","2023-10-17 12:40:06.975778",195,7,"Sitting Desk with Monitor",False,True
46,"2023-10-17 12:50:40.726","2023-10-17 14:50:40.726","2023-10-17 12:40:28.458428",230,0,"Sitting Desk with Monitor",False,True
47,"2023-10-17 12:41:32.250312","2023-10-17 14:01:41.531955","2023-10-17 12:41:32.261488",231,8,"Sitting Desk with Monitor",False,True
50,"2023-10-17 13:02:13.019","2023-10-17 15:02:13.019","2023-10-17 12:48:15.133947",115,4,"Sitting Desk with Monitor",False,True
51,"2023-10-17 12:56:13.136884","2023-10-17 14:56:08.189","2023-10-17 12:56:13.141779",232,15,"Standing Desk with Monitor",True,True
52,"2023-10-17 13:00:39.234678","2023-10-17 15:00:29.404","2023-10-17 13:00:39.241248",234,14,"Standing Desk with Monitor",True,True
53,"2023-10-17 13:15:38.815","2023-10-17 13:48:35.222332","2023-10-17 13:00:48.688513",171,5,"Sitting Desk with Monitor",False,True
54,"2023-10-17 13:16:01.934","2023-10-17 15:16:01.934","2023-10-17 13:05:53.831688",235,10,"Sitting Desk with Monitor",False,True
55,"2023-10-17 13:06:31.73815","2023-10-17 13:59:05.33999","2023-10-17 13:06:31.743134",236,13,"Standing Desk with Monitor",True,True
57,"2023-10-17 13:17:50.327559","2023-10-17 15:17:42.389","2023-10-17 13:17:50.333333",4,17,"Standing Desk with Monitor",True,True
60,"2023-10-17 13:19:31.992925","2023-10-17 14:13:47.178254","2023-10-17 13:19:32.000286",238,21,"Communal Area Seat",False,False
62,"2023-10-17 13:29:23.420613","2023-10-17 13:47:24.343664","2023-10-17 13:29:23.426085",239,37,"Communal Area Seat",False,False
